round,seq_num,folder,frame_num,crop_index,label,send_timestamp
0,0,MVI_20032,1,2,0,1782342400.2448027
0,1,MVI_20011,4,4,0,1782342400.246797
0,2,MVI_20032,4,1,0,1782342400.2487462
0,3,MVI_20011,5,4,0,1782342400.2507374
0,4,MVI_20032,5,0,0,1782342400.25286
0,5,MVI_20011,2,5,0,1782342400.2547398
0,6,MVI_20032,5,2,0,1782342400.2567537
0,7,MVI_20032,1,3,0,1782342400.258735
0,8,MVI_20011,3,3,0,1782342400.261179
0,9,MVI_20011,2,6,0,1782342400.2628722
0,10,MVI_20011,1,4,0,1782342400.264715
0,11,MVI_20011,1,0,0,1782342400.266713
0,12,MVI_20011,1,3,0,1782342400.2688737
0,13,MVI_20011,1,2,0,1782342400.270847
0,14,MVI_20032,4,2,0,1782342400.272752
0,15,MVI_20011,1,1,0,1782342400.2748458
0,16,MVI_20011,2,2,0,1782342400.2768154
0,17,MVI_20011,5,0,0,1782342400.278812
0,18,MVI_20032,1,0,0,1782342400.2809322
0,19,MVI_20032,3,0,0,1782342400.2828472
0,20,MVI_20011,4,5,0,1782342400.285
0,21,MVI_20011,1,6,0,1782342400.286853
0,22,MVI_20032,5,3,0,1782342400.288728
0,23,MVI_20011,3,0,0,1782342400.2907608
0,24,MVI_20032,3,1,0,1782342400.2927117
0,25,MVI_20011,3,1,0,1782342400.294712
0,26,MVI_20011,2,1,0,1782342400.2967098
1,27,MVI_20032,4,0,0,1782342400.4996119
1,28,MVI_20011,4,2,0,1782342400.5017536
1,29,MVI_20032,3,2,0,1782342400.5037982
1,30,MVI_20032,5,1,0,1782342400.5056806
1,31,MVI_20011,3,4,0,1782342400.5077586
1,32,MVI_20011,2,0,0,1782342400.5106199
1,33,MVI_20011,2,3,0,1782342400.5117161
1,34,MVI_20032,2,0,0,1782342400.513843
1,35,MVI_20011,3,5,0,1782342400.5157084
1,36,MVI_20032,3,3,0,1782342400.517717
1,37,MVI_20011,4,3,0,1782342400.5197852
1,38,MVI_20011,4,6,0,1782342400.5217936
1,39,MVI_20011,3,6,0,1782342400.5237353
1,40,MVI_20032,2,1,0,1782342400.525724
1,41,MVI_20032,4,3,0,1782342400.5277305
1,42,MVI_20011,3,2,0,1782342400.5299706
1,43,MVI_20011,5,6,0,1782342400.531637
1,44,MVI_20011,5,3,0,1782342400.5336459
1,45,MVI_20032,2,2,0,1782342400.5356498
1,46,MVI_20011,2,4,0,1782342400.5377061
1,47,MVI_20011,5,5,0,1782342400.5396729
1,48,MVI_20032,2,3,0,1782342400.5416496
1,49,MVI_20011,5,1,0,1782342400.5436606
1,50,MVI_20011,1,5,0,1782342400.54565
1,51,MVI_20011,5,2,0,1782342400.5476513
1,52,MVI_20032,1,1,0,1782342400.549704
1,53,MVI_20011,4,1,0,1782342400.5517998
1,54,MVI_20011,4,0,0,1782342400.5538282
