round,frame_accuracy,balanced_accuracy,samples_processed,samples_trained,samples_received,stale_samples_discarded,live_samples,live_samples_trained,fallback_samples,fallback_samples_trained,fallback_delay,queue_fill_seconds_avg,queue_fill_seconds_max,queue_fill_complete_senders,compute_time,train_loss_avg,round_wall_time,samples_trained_per_second,images_processed_per_second,replay_buffer_size,queue_length_avg,queue_length_max,outage_active,resource_scope,cpu_avg,cpu_peak,cpu_var,cpu_avg_host_percent,cpu_peak_host_percent,memory_avg_mb,memory_peak_mb,acc_car,pred_car,test_car,train_car,received_car,buffer_car,acc_van,pred_van,test_van,train_van,received_van,buffer_van,acc_bus,pred_bus,test_bus,train_bus,received_bus,buffer_bus,acc_others,pred_others,test_others,train_others,received_others,buffer_others,received_camera0,queue_fill_seconds_camera0,queue_fill_complete_camera0,received_camera1,queue_fill_seconds_camera1,queue_fill_complete_camera1,received_camera2,queue_fill_seconds_camera2,queue_fill_complete_camera2
1,0.8459935155164428,0.25,124,124,124,18,124,124,0,0,0.0,1.9645519463333396,1.993810494999991,0,0.7238657474517822,0.6911754618088404,2.736008882522583,45.32149028904934,45.32149028904934,124,16.333333333333332,17,False,receive_fallback_train_excludes_evaluation,66.02678571428571,298.5,10652.622675382652,22.00892857142857,99.5,661.9111328125,857.2890625,1.0,4318,3653,124,124,124,0.0,0,453,0,0,0,0.0,0,189,0,0,0,0.0,0,23,0,0,0,41,1.9478697150000244,False,42,1.993810494999991,False,41,1.9519756290000032,False
2,0.8459935155164428,0.25,249,249,125,1627,125,249,0,0,0.0,1.956834236666661,1.957804570999997,0,0.6255664825439453,0.0,2.636251926422119,94.45227806355328,47.4158022407396,249,13.666666666666666,14,True,receive_fallback_train_excludes_evaluation,74.89259259259259,318.1,14025.756611796984,24.964197530864197,106.03333333333335,855.031394675926,959.546875,1.0,4318,3653,249,125,249,0.0,0,453,0,0,0,0.0,0,189,0,0,0,0.0,0,23,0,0,0,41,1.9558944359999941,False,42,1.9568037029999914,False,42,1.957804570999997,False
3,0.8459935155164428,0.25,256,256,216,1155,88,166,128,90,0.4753188299764507,1.3333853483333276,2.0005281829999717,1,0.9144790172576904,59.2129693031311,2.9353673458099365,87.21225313261894,73.58533858064723,465,869.3333333333334,2570,True,receive_fallback_train_excludes_evaluation,154.31666666666666,2599.4,115341.9373888889,51.43888888888889,866.4666666666667,1032.7169921875,1148.93359375,1.0,4318,3653,108,181,430,0.0,0,453,64,30,30,0.0,0,189,41,2,2,0.0,0,23,43,3,3,44,1.9996278620000112,False,128,0.0,True,44,2.0005281829999717,False
4,0.0333487725798981,0.31677704194260486,256,256,298,574,42,95,256,161,0.9339704560198256,0.6633551053333235,1.9900653159999706,2,0.997490644454956,4.699965193867683,3.0169076919555664,84.85509871005043,98.77663834216808,763,2178.3333333333335,4040,True,receive_fallback_train_excludes_evaluation,183.47868852459013,4166.6,278593.32003762433,61.15956284153004,1388.8666666666668,1263.2387295081967,1384.109375,0.0,0,3653,91,262,692,0.2671081677704194,756,453,93,32,62,0.0,0,189,39,2,4,1.0,3562,23,33,2,5,128,0.0,True,128,0.0,True,42,1.9900653159999706,False
5,0.02269569245020843,0.29293247836294195,256,256,212,4277,84,98,128,158,0.5948082657148887,1.3379047333333272,2.0082335519999788,1,0.7934095859527588,1.8019133806228638,2.8157143592834473,90.91831320033036,75.29172811902359,975,1351.6666666666667,4021,True,receive_fallback_train_excludes_evaluation,87.41754385964913,318.6,15928.043551862109,29.13918128654971,106.2,1317.7961211622808,1434.76171875,0.0,0,3653,91,169,861,0.16114790286975716,398,453,92,31,93,0.010582010582010581,46,189,36,5,9,1.0,3874,23,37,7,12,42,2.0054806480000025,False,128,0.0,True,42,2.0082335519999788,False
6,0.01667438628994905,0.3078769403272714,256,256,212,999,84,100,128,156,0.6822103771220988,1.3166988823333174,1.9756405969999946,1,0.7967348098754883,0.9875911474227905,2.8146305084228516,90.95332379646766,75.32072126894978,1187,1354.6666666666667,4030,True,receive_fallback_train_excludes_evaluation,86.24736842105264,318.6,15259.114422899353,28.749122807017546,106.2,1202.0740131578948,1324.08203125,0.0,0,3653,84,175,1036,0.019867549668874173,90,453,86,14,107,0.21164021164021163,263,189,43,19,28,1.0,3965,23,43,4,16,42,1.974456049999958,False,128,0.0,True,42,1.9756405969999946,False
7,0.0539601667438629,0.37271384543195657,256,256,212,944,84,97,128,159,0.7151739936483267,1.3220183419999785,1.983455001999971,1,0.7868304252624512,0.9870784282684326,2.8090639114379883,91.13356195194257,75.46998099145243,1399,1356.6666666666667,4036,True,receive_fallback_train_excludes_evaluation,86.47017543859648,317.7,15656.023145583258,28.823391812865495,105.89999999999999,1235.1455592105262,1321.55078125,0.0,0,3653,82,168,1204,0.3620309050772627,1465,453,78,17,124,0.25925925925925924,305,189,60,18,46,0.8695652173913043,2548,23,36,9,25,42,1.9826000239999644,False,128,0.0,True,42,1.983455001999971,False
8,0.05697081982399259,0.3603200502135141,256,256,212,976,84,83,128,173,0.7213183494259833,1.324341984000019,1.9873808990000157,1,0.7895936965942383,0.758084699511528,2.8083717823028564,91.1560220100491,75.4885807270719,1611,1354.0,4028,True,receive_fallback_train_excludes_evaluation,86.38771929824561,318.4,15412.969849184368,28.795906432748538,106.13333333333333,1210.748355263158,1325.6171875,0.0,0,3653,73,176,1380,0.4194260485651214,1572,453,70,12,136,0.19576719576719576,223,189,75,20,66,0.8260869565217391,2523,23,38,4,29,42,1.9856450530000416,False,128,0.0,True,42,1.9873808990000157,False
9,0.058360352014821676,0.38521580689735024,256,256,212,978,84,88,128,168,0.724909548093784,1.3245536469999972,1.9871211070000072,1,0.7506194114685059,0.8478182405233383,2.7699315547943115,92.42105623761881,76.53618719677809,1823,1350.0,4018,True,receive_fallback_train_excludes_evaluation,85.13035714285714,314.3,15372.091042729593,28.376785714285713,104.76666666666667,1219.5794503348213,1333.6953125,0.0,0,3653,73,159,1539,0.3708609271523179,1443,453,73,4,140,0.3439153439153439,345,189,71,49,115,0.8260869565217391,2530,23,39,0,29,42,1.9865398339999842,False,128,0.0,True,42,1.9871211070000072,False
10,0.06924502084298287,0.37575392635859095,256,256,212,966,84,87,128,169,0.80984378936937,1.3261509370000037,1.989633528000013,1,0.8243424892425537,0.721660278737545,2.8418021202087402,90.0836825264934,74.60054959225235,2035,1362.0,4050,True,receive_fallback_train_excludes_evaluation,88.65689655172413,318.7,15714.405555885853,29.55229885057471,106.23333333333333,1229.6237203663793,1344.47265625,0.0,0,3653,69,184,1723,0.4392935982339956,2053,453,71,21,161,0.455026455026455,495,189,73,7,122,0.6086956521739131,1770,23,43,0,29,42,1.988819282999998,False,128,0.0,True,42,1.989633528000013,False
11,0.08360352014821677,0.3848878803528962,256,256,212,993,84,73,128,183,0.5526472654369675,1.3280598103333432,1.9925677410000162,1,0.7871389389038086,0.5333801582455635,2.800469398498535,91.4132466997332,75.70159492321655,2247,1351.0,4019,True,receive_fallback_train_excludes_evaluation,86.4298245614035,318.6,15591.031566635887,28.809941520467834,106.2,1239.3804139254387,1354.578125,0.0,0,3653,73,175,1898,0.5386313465783664,2381,453,66,34,195,0.5661375661375662,568,189,76,0,122,0.43478260869565216,1369,23,41,3,32,42,1.9925677410000162,False,128,0.0,True,42,1.9916116900000134,False
12,0.0856878184344604,0.35765626594880845,256,256,212,966,84,67,128,189,0.6048598976350965,1.3364813683333523,2.0051301820000162,1,0.833420991897583,0.5083586052060127,2.851799249649048,89.76788952851581,74.33903351580216,2459,1358.3333333333333,4039,True,receive_fallback_train_excludes_evaluation,87.85517241379311,318.2,15397.981093935789,29.28505747126437,106.06666666666666,1248.9528556034484,1365.9140625,0.0,0,3653,74,179,2077,0.5960264900662252,2577,453,76,33,228,0.48677248677248675,467,189,69,0,122,0.34782608695652173,1274,23,37,0,32,42,2.0043139230000406,False,128,0.0,True,42,2.0051301820000162,False
13,0.08383510884668828,0.3504540697169548,256,256,212,988,84,75,128,181,0.5433949852047302,1.3259117369999938,1.98960407200002,1,0.8211805820465088,0.4313027635216713,2.8396499156951904,90.15195802308159,74.65709023786445,2671,1359.0,4041,True,receive_fallback_train_excludes_evaluation,193.78965517241377,6138.5,635594.0688585017,64.59655172413792,2046.1666666666667,1263.016635237069,1378.63671875,0.0,0,3653,67,179,2256,0.6136865342163356,2630,453,72,31,259,0.3968253968253968,398,189,73,0,122,0.391304347826087,1290,23,44,2,34,42,1.988131138999961,False,128,0.0,True,42,1.98960407200002,False
14,0.08615099583140343,0.36599420777364916,256,256,212,972,84,79,128,177,0.6992973987708659,1.3292654576666412,1.9942391109999562,1,0.7789647579193115,0.4380914643406868,2.797945737838745,91.49569862557289,75.76987542430255,2883,1352.6666666666667,4024,True,receive_fallback_train_excludes_evaluation,85.02982456140352,318.1,15031.621040320095,28.343274853801173,106.03333333333335,1272.6131441885964,1387.703125,0.0,0,3653,72,191,2447,0.6070640176600441,2533,453,69,17,276,0.4656084656084656,465,189,75,4,126,0.391304347826087,1320,23,40,0,34,42,1.9935572619999675,False,128,0.0,True,42,1.9942391109999562,False
