seq_num,folder,frame_num,crop_index,arrival_timestamp,interarrival_delay
39600,MVI_20061,25,13,1782347578.1987882,0.0
39601,MVI_20052,38,0,1782347578.2386215,0.03983330726623535
39602,MVI_20052,47,7,1782347578.2784204,0.03979897499084473
39603,MVI_20052,43,9,1782347578.3185246,0.04010415077209473
39604,MVI_20052,22,12,1782347578.3586094,0.0400848388671875
39605,MVI_20061,3,5,1782347578.3986652,0.04005575180053711
39606,MVI_20061,21,17,1782347578.4386437,0.0399785041809082
39607,MVI_20061,39,11,1782347578.4785225,0.03987884521484375
39608,MVI_20032,12,0,1782347578.5184197,0.03989720344543457
39609,MVI_20061,44,7,1782347578.5586126,0.04019284248352051
39610,MVI_20061,7,7,1782347578.5985332,0.03992056846618652
39611,MVI_20032,44,1,1782347578.6385055,0.03997230529785156
39612,MVI_20034,29,3,1782347578.6784728,0.03996729850769043
39613,MVI_20034,7,4,1782347578.7188132,0.040340423583984375
39614,MVI_20032,25,1,1782347578.7586672,0.03985404968261719
39615,MVI_20052,39,16,1782347578.7984927,0.039825439453125
39616,MVI_20052,47,14,1782347578.8387272,0.04023456573486328
39617,MVI_20011,44,4,1782347578.8785203,0.03979301452636719
39618,MVI_20052,9,4,1782347578.9187772,0.04025697708129883
39619,MVI_20011,6,2,1782347578.9595156,0.04073834419250488
39620,MVI_20051,43,4,1782347578.9988847,0.03936910629272461
39621,MVI_20061,46,13,1782347579.0388582,0.03997349739074707
39622,MVI_20011,14,5,1782347579.078313,0.03945493698120117
39623,MVI_20035,1,9,1782347579.1184225,0.04010939598083496
39624,MVI_20052,6,7,1782347579.1590497,0.040627241134643555
39625,MVI_20061,32,1,1782347579.1993635,0.040313720703125
39626,MVI_20061,12,7,1782347579.2390943,0.03973078727722168
39627,MVI_20061,5,7,1782347579.2791228,0.04002857208251953
39628,MVI_20011,49,7,1782347579.3193848,0.04026198387145996
39629,MVI_20051,36,0,1782347579.3585393,0.0391545295715332
39630,MVI_20061,11,17,1782347579.3992133,0.04067397117614746
39631,MVI_20035,16,4,1782347579.438814,0.03960061073303223
39632,MVI_20011,23,2,1782347579.4792676,0.04045367240905762
39633,MVI_20035,18,4,1782347579.5185738,0.0393061637878418
39634,MVI_20052,41,4,1782347579.5586138,0.040040016174316406
39635,MVI_20061,3,1,1782347579.5993857,0.0407719612121582
39636,MVI_20061,6,1,1782347579.639312,0.03992629051208496
39637,MVI_20033,22,1,1782347579.6788483,0.039536237716674805
39638,MVI_20035,32,5,1782347579.7191362,0.04028797149658203
39639,MVI_20032,50,0,1782347579.758645,0.039508819580078125
39640,MVI_20052,34,4,1782347579.7991407,0.04049563407897949
39641,MVI_20034,25,2,1782347579.839565,0.040424346923828125
39642,MVI_20061,47,1,1782347579.8789067,0.03934168815612793
39643,MVI_20061,9,14,1782347579.9186153,0.039708614349365234
39644,MVI_20011,4,4,1782347579.958372,0.03975677490234375
39645,MVI_20051,41,3,1782347579.9987295,0.040357351303100586
39646,MVI_20061,32,4,1782347580.0390701,0.04034066200256348
39647,MVI_20011,36,6,1782347580.0788085,0.03973841667175293
39648,MVI_20035,11,9,1782347580.1184702,0.03966164588928223
39649,MVI_20051,8,3,1782347580.158665,0.04019474983215332
39650,MVI_20035,42,1,1782347580.1987402,0.04007530212402344
39651,MVI_20035,30,7,1782347580.2393134,0.0405731201171875
39652,MVI_20052,47,13,1782347580.2790134,0.03970003128051758
39653,MVI_20011,29,2,1782347580.319173,0.04015970230102539
39654,MVI_20052,27,3,1782347580.358607,0.039433956146240234
39655,MVI_20061,4,14,1782347580.3987331,0.04012608528137207
39656,MVI_20035,13,10,1782347580.4385638,0.039830684661865234
39657,MVI_20061,4,8,1782347580.478739,0.04017519950866699
39658,MVI_20011,22,3,1782347580.5185106,0.03977155685424805
39659,MVI_20035,26,5,1782347580.5586655,0.04015493392944336
39660,MVI_20032,8,1,1782347580.5985441,0.03987860679626465
39661,MVI_20032,17,3,1782347580.6386328,0.040088653564453125
39662,MVI_20052,30,1,1782347580.6787276,0.040094852447509766
39663,MVI_20052,27,1,1782347580.718584,0.0398564338684082
39664,MVI_20052,15,8,1782347580.758822,0.0402379035949707
39665,MVI_20052,15,6,1782347580.7986515,0.03982949256896973
