seq_num,folder,frame_num,crop_index,label,send_timestamp
0,MVI_20062,1,0,0,1782339345.7259924
1,MVI_20062,1,1,0,1782339345.7260354
2,MVI_20062,1,2,0,1782339345.7260652
3,MVI_20062,1,3,0,1782339345.755228
4,MVI_20062,1,4,0,1782339345.7951996
5,MVI_20062,1,5,0,1782339345.8353162
6,MVI_20062,1,6,1,1782339345.875268
7,MVI_20062,1,7,1,1782339345.915197
8,MVI_20062,1,8,0,1782339345.9551983
9,MVI_20062,2,0,0,1782339346.006162
10,MVI_20062,2,1,0,1782339346.0352125
11,MVI_20062,2,2,0,1782339346.0751805
12,MVI_20062,2,3,0,1782339346.115205
13,MVI_20062,2,4,0,1782339346.1552212
14,MVI_20062,2,5,0,1782339346.1951928
15,MVI_20062,2,6,1,1782339346.2351918
16,MVI_20062,2,7,1,1782339346.2752151
17,MVI_20062,2,8,0,1782339346.3152606
18,MVI_20062,2,9,0,1782339346.3552535
19,MVI_20062,3,0,0,1782339346.4076803
20,MVI_20062,3,1,0,1782339346.435195
21,MVI_20062,3,2,0,1782339346.4751909
22,MVI_20062,3,3,0,1782339346.5152683
23,MVI_20062,3,4,0,1782339346.555191
24,MVI_20062,3,5,0,1782339346.595205
25,MVI_20062,3,6,1,1782339346.6351893
26,MVI_20062,3,7,1,1782339346.6751823
27,MVI_20062,3,8,0,1782339346.7151768
28,MVI_20062,3,9,0,1782339346.7552013
29,MVI_20062,4,0,0,1782339346.804456
30,MVI_20062,4,1,0,1782339346.8351965
31,MVI_20062,4,2,0,1782339346.8753512
32,MVI_20062,4,3,0,1782339346.9152913
33,MVI_20062,4,4,0,1782339346.9552038
34,MVI_20062,4,5,0,1782339346.9951918
35,MVI_20062,4,6,1,1782339347.0352056
36,MVI_20062,4,7,1,1782339347.075192
37,MVI_20062,4,8,0,1782339347.1151845
38,MVI_20062,4,9,0,1782339347.1552095
39,MVI_20062,5,0,0,1782339347.2048728
40,MVI_20062,5,1,0,1782339347.2351801
41,MVI_20062,5,2,0,1782339347.275198
42,MVI_20062,5,3,0,1782339347.3152072
43,MVI_20062,5,4,0,1782339347.3552032
44,MVI_20062,5,5,0,1782339347.3952253
45,MVI_20062,5,6,1,1782339347.435222
46,MVI_20062,5,7,1,1782339347.4752138
47,MVI_20062,5,8,0,1782339347.515195
48,MVI_20062,5,9,0,1782339347.5552182
49,MVI_20062,6,0,0,1782339347.6062546
50,MVI_20062,6,1,0,1782339347.6351957
51,MVI_20062,6,2,0,1782339347.6752121
52,MVI_20062,6,3,0,1782339347.7151947
53,MVI_20062,6,4,0,1782339347.7552354
54,MVI_20062,6,5,0,1782339347.795215
55,MVI_20062,6,6,1,1782339347.8352976
56,MVI_20062,6,7,1,1782339347.875286
57,MVI_20062,6,8,0,1782339347.9151976
58,MVI_20062,6,9,0,1782339347.9552922
59,MVI_20062,7,0,0,1782339348.0074303
60,MVI_20062,7,1,0,1782339348.035198
61,MVI_20062,7,2,0,1782339348.0751963
62,MVI_20062,7,3,0,1782339348.115187
63,MVI_20062,7,4,0,1782339348.155196
64,MVI_20062,7,5,0,1782339348.1951938
65,MVI_20062,7,6,1,1782339348.2351954
66,MVI_20062,7,7,1,1782339348.275208
67,MVI_20062,7,8,0,1782339348.3152242
68,MVI_20062,7,9,0,1782339348.3552635
69,MVI_20062,8,0,0,1782339348.403988
70,MVI_20062,8,1,0,1782339348.4351869
71,MVI_20062,8,2,0,1782339348.4751732
72,MVI_20062,8,3,0,1782339348.5151742
73,MVI_20062,8,4,0,1782339348.555185
74,MVI_20062,8,5,0,1782339348.5951731
