round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,1,1782427759.7698302,3.4120647609233856,0.41013112167517346,185.11111111111111,202.5,1050,0
1,1,1782427782.0585792,3.5615224639574685,0.3463450074195862,185.61666666666667,201.4,1050,0
2,1,1782427803.8459642,2.8753771583239236,0.4963372548421224,186.2388888888889,201.0,1050,0
3,1,1782427825.5399997,3.468216598033905,0.44928636650244397,186.57222222222222,203.0,1050,0
4,1,1782427847.377752,2.413287197550138,0.6457607547442118,186.22777777777776,204.0,1050,0
5,1,1782427869.298993,2.05398960908254,0.7277174592018127,185.79444444444445,203.8,1050,0
6,1,1782427890.9540322,2.401477485895157,0.664252519607544,186.4611111111111,204.3,1050,0
7,1,1782427912.4711719,1.9467832098404567,0.6900010506312052,185.3,202.1,1050,0
8,1,1782427934.2296784,2.2636574059724808,0.6985552509625753,185.23333333333332,199.5,1050,0
9,1,1782427956.358248,2.0663481950759888,0.7157539327939352,185.4611111111111,199.7,1050,0
10,1,1782427978.1506186,1.5904420465230942,0.7904305656750997,185.16666666666666,201.7,1050,0
11,1,1782427999.775644,1.4637399166822433,0.8209729989369711,185.41666666666666,202.3,1050,0
12,1,1782428021.8198647,1.4852247660358746,0.7978474895159403,186.39444444444445,201.9,1050,0
13,1,1782428043.5730867,1.4571920434633892,0.8007197578748068,185.61111111111111,203.9,1050,0
14,1,1782428065.3607738,1.4186434149742126,0.8348927895228068,185.84444444444443,200.7,1050,0
15,1,1782428087.1416566,1.204339178899924,0.8512122432390848,186.1888888888889,204.8,1050,0
16,1,1782428108.905251,1.6407098770141602,0.7802681724230448,185.8,201.2,1050,0
17,1,1782428130.583077,1.26827817906936,0.8243791460990906,184.7888888888889,199.6,1050,0
18,1,1782428152.3178139,1.1063140382369359,0.8690796295801798,185.6277777777778,200.3,1050,0
19,1,1782428174.368884,1.4838750312725704,0.8072108030319214,185.02777777777777,198.8,1050,0
20,1,1782428196.0826788,1.1051162878672283,0.8656885623931885,185.00555555555556,200.8,1050,0
21,1,1782428217.6459064,0.9681104943156242,0.882477343082428,186.01666666666668,202.3,1050,0
22,1,1782428239.9347234,1.1843247339129448,0.8452703555425009,185.13333333333333,200.4,1050,0
23,1,1782428261.252586,1.1142174402872722,0.8533974488576254,184.85000000000002,200.8,1050,0
24,1,1782428283.7377648,1.4055647452672322,0.8097148736317953,185.16111111111113,201.1,1050,0
25,1,1782428305.3274078,1.0374377146363258,0.8729164799054464,185.17222222222222,200.5,1050,0
26,1,1782428327.621512,0.8691428850094477,0.8903483748435974,185.01666666666668,199.5,1050,0
27,1,1782428349.342081,1.0732297872503598,0.8586352864901224,186.30555555555554,211.6,1050,0
28,1,1782428371.1790953,1.0048526177803676,0.8798637787501017,185.59444444444443,201.0,1050,0
29,1,1782428393.062687,0.969056248664856,0.8869731823603312,185.18333333333334,199.6,1050,0
30,1,1782428414.8088331,1.1611773371696472,0.8444902499516805,184.70555555555555,201.9,1050,0
31,1,1782428436.71192,0.8262303608159224,0.9111666282018026,185.13888888888889,203.3,1050,0
32,1,1782428458.518718,1.048750343422095,0.8798097570737203,185.85000000000002,204.9,1050,0
33,1,1782428480.0908828,1.1961758881807327,0.8606050213177999,185.88888888888889,204.0,1050,0
34,1,1782428501.7495108,0.9280311415592829,0.8892259200414022,184.86666666666667,201.5,1050,0
35,1,1782428524.0098221,0.9016656627257665,0.8913770119349161,184.9388888888889,199.3,1050,0
36,1,1782428545.702094,0.8658735702435175,0.9003999431927999,184.82222222222222,198.7,1050,0
37,1,1782428567.2671082,0.8469808101654053,0.9109461506207784,185.53333333333333,200.4,1050,0
38,1,1782428589.3255322,0.6679836176335812,0.9254284103711446,186.11666666666667,205.9,1050,0
39,1,1782428611.0006852,0.8286538533866405,0.8974446256955465,185.9611111111111,212.1,1050,0
40,1,1782428632.8184292,0.6891944805781046,0.9186992049217224,185.61666666666667,205.3,1050,0
41,1,1782428654.8480413,0.7349315782388052,0.9334095120429993,185.85000000000002,201.3,1050,0
42,1,1782428676.4038725,0.8501956164836884,0.8938695192337036,186.28333333333333,205.9,1050,0
