round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,2,1782174179.5858872,0.03822927943267158,0.9934054611025245,747.9986928104576,841.3,9705,0
1,2,1782174254.0165904,9.89447162771123e-07,1.0,748.2235294117647,832.8,9705,0
2,2,1782174325.8604372,5.257495903730186e-07,1.0,750.026797385621,836.3,9705,0
3,2,1782174399.9618993,8.414726284829825e-08,1.0,747.0470588235294,841.9,9705,0
4,2,1782174451.7064981,3.6806783929370558e-06,1.0,723.10522875817,840.1,9705,0
5,2,1782174501.2617416,0.0,1.0,730.9235294117648,850.2,9705,0
6,2,1782174551.7672107,0.0,1.0,709.635294117647,818.5,9705,0
7,2,1782174601.8073149,0.0,1.0,716.1228758169934,834.9,9705,0
8,2,1782174654.4588838,0.0,1.0,705.0150326797386,820.8,9705,0
9,2,1782174704.3642602,0.0,1.0,692.5176470588235,832.0,9705,0
10,2,1782174756.1635756,0.0,1.0,708.1078431372549,817.4,9705,0
11,2,1782174805.9636598,0.0,1.0,714.6954248366013,830.6,9705,0
12,2,1782174854.215271,0.0,1.0,716.1875816993464,855.1,9705,0
13,2,1782174903.948763,0.0,1.0,716.259477124183,834.6,9705,0
14,2,1782174955.532288,0.0,1.0,660.6411764705882,811.9,9705,0
15,2,1782175005.8326354,0.0,1.0,711.5490196078431,841.3,9705,0
16,2,1782175055.8248634,0.0,1.0,716.4228758169935,848.1,9705,0
17,2,1782175107.0611417,0.0,1.0,709.2326797385622,832.7,9705,0
18,2,1782175179.7375607,0.0,1.0,766.518954248366,856.7,9705,0
19,2,1782175251.243542,0.000634578938593668,1.0,761.8771241830066,847.9,9705,0
20,2,1782175322.750833,0.0,1.0,761.4039215686274,847.9,9705,0
21,2,1782175394.6892493,4.2166328068409384e-07,1.0,748.4437908496732,846.0,9705,0
22,2,1782175467.0182717,8.093345872699629e-07,1.0,767.9176470588235,853.1,9705,0
23,2,1782175541.2422874,2.2537334885694372e-07,1.0,761.9352941176471,868.5,9705,0
24,2,1782175613.4862394,4.236714940976083e-05,1.0,763.2888888888889,853.7,9705,0
25,2,1782175684.6577952,0.0,1.0,772.9745098039216,846.6,9705,0
