round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,2,1782180729.2499528,0.11647060053051578,0.9835136527563112,801.7714285714286,847.6,3882,0
1,2,1782180811.9804173,4.4749895208994247e-07,1.0,805.7428571428571,844.8,3882,0
2,2,1782180887.1466594,0.00044607712900522953,1.0,811.2634920634921,847.4,3882,0
3,2,1782180965.006304,0.0,1.0,814.2095238095237,861.1,3882,0
4,2,1782181043.4685624,5.601494303115422e-05,1.0,811.1809523809524,856.5,3882,0
5,2,1782181102.8914993,8.86973827718407e-11,1.0,758.0619047619048,824.7,3882,0
6,2,1782181156.4683392,7.98276423799461e-10,1.0,755.8428571428572,829.1,3882,0
7,2,1782181212.125643,8.869737219828808e-10,1.0,751.7650793650794,832.6,3882,0
8,2,1782181265.9493659,8.86973827718407e-11,1.0,758.0396825396825,826.4,3882,0
9,2,1782181317.4960253,6.208816582557796e-10,1.0,763.9460317460317,836.7,3882,0
10,2,1782181373.2243876,8.86973827718407e-11,1.0,761.2650793650794,839.0,3882,0
11,2,1782181428.1762998,1.773947655436814e-10,1.0,758.4698412698413,845.1,3882,0
12,2,1782181480.553666,4.4348688742532195e-10,1.0,769.6698412698412,847.4,3882,0
13,2,1782181534.6565158,1.1530653469075485e-09,1.0,758.5428571428571,840.0,3882,0
14,2,1782181588.9182153,8.86973827718407e-11,1.0,764.3523809523809,834.3,3882,0
15,2,1782181642.3637266,4.4348690328565086e-10,1.0,752.936507936508,830.0,3882,0
16,2,1782181698.450415,1.773947655436814e-10,1.0,773.0349206349206,841.5,3882,0
17,2,1782181771.5232153,8.86973827718407e-11,1.0,805.6746031746031,853.4,3882,0
18,2,1782181852.1541567,8.688433439611269e-05,1.0,811.0238095238095,849.5,3882,0
19,2,1782181926.751471,0.0,1.0,805.7063492063492,844.5,3882,0
20,2,1782182005.3282056,0.0005233904119183056,1.0,797.5793650793651,847.4,3882,0
21,2,1782182081.428426,0.0,1.0,794.036507936508,837.4,3882,0
22,2,1782182159.0976682,0.0005714646557858467,1.0,798.8888888888889,846.6,3882,0
23,2,1782182238.638218,0.0,1.0,809.3333333333334,855.1,3882,0
24,2,1782182314.9384065,0.00013125672541034578,1.0,812.3269841269841,865.2,3882,0
25,2,1782182393.7025037,4.7012489987196035e-07,1.0,795.2079365079364,834.1,3882,0
26,2,1782182471.6898315,1.3092635207624856e-05,1.0,799.547619047619,848.9,3882,0
27,2,1782182551.525884,8.86973827718407e-11,1.0,788.1365079365079,831.5,3882,0
28,2,1782182628.2254236,0.0005633068826655506,1.0,806.2936507936508,847.9,3882,0
29,2,1782182706.2039242,0.0,1.0,804.1253968253968,845.1,3882,0
30,2,1782182784.4179454,8.980014251305657e-05,1.0,807.0396825396825,844.4,3882,0
31,2,1782182860.479366,0.0,1.0,806.9555555555555,868.5,3882,0
32,2,1782182939.1513538,0.000493861557453372,1.0,795.7619047619048,840.8,3882,0
33,2,1782182993.2828171,0.0,1.0,742.6984126984127,824.4,3882,0
34,2,1782183042.9643152,2.0852358263487435e-06,1.0,747.4904761904762,826.1,3882,0
35,2,1782183091.0065622,1.4499616897452261e-05,1.0,748.8412698412699,824.8,3882,0
36,2,1782183138.2736254,9.756696450757829e-09,1.0,751.3968253968254,815.1,3882,0
37,2,1782183189.4666448,3.4404251363066386e-05,1.0,744.4333333333334,804.2,3882,0
38,2,1782183235.3669806,5.277358930278977e-08,1.0,726.3301587301588,806.3,3882,0
39,2,1782183283.1772072,9.552294348704113e-06,1.0,749.0396825396825,823.5,3882,0
40,2,1782183331.119143,2.278699678144525e-06,1.0,749.3952380952381,853.0,3882,0
41,2,1782183400.9777274,1.635394784466853e-06,1.0,801.7063492063492,851.4,3882,0
42,2,1782183478.6011927,1.085632743491076e-07,1.0,804.0492063492063,842.4,3882,0
43,2,1782183558.1391659,1.4272874708914124e-05,1.0,791.5984126984126,833.2,3882,0
44,2,1782183638.5255601,0.0,1.0,797.1253968253968,848.8,3882,0
45,2,1782183716.874028,3.909553785977745e-05,1.0,805.4873015873015,850.3,3882,0
46,2,1782183798.0590596,2.6609212188164057e-10,1.0,796.915873015873,844.9,3882,0
47,2,1782183879.2344937,0.0006373879614761181,1.0,800.7619047619048,846.0,3882,0
48,2,1782183959.7372599,0.0,1.0,802.036507936508,850.4,3882,0
49,2,1782184041.6877947,3.947437554539074e-06,1.0,797.5968253968254,852.4,3882,0
50,2,1782184121.2943745,2.712095024115513e-07,1.0,806.5063492063492,852.3,3882,0
51,2,1782184198.2542286,1.387043039562174e-06,1.0,816.5857142857143,860.5,3882,0
52,2,1782184276.3501568,8.113842818190969e-06,1.0,815.2063492063492,866.1,3882,0
53,2,1782184351.5394382,1.773947655436814e-10,1.0,801.936507936508,852.2,3882,0
54,2,1782184431.8039284,7.89451654024215e-06,1.0,806.8126984126984,854.8,3882,0
55,2,1782184506.9776075,2.2935963584993926e-07,1.0,802.7269841269841,848.7,3882,0
56,2,1782184586.5944898,4.446061570022375e-05,1.0,804.7634920634921,852.5,3882,0
57,2,1782184665.4962876,0.0,1.0,792.0015873015873,839.1,3882,0
58,2,1782184743.7635884,0.0005389750927763869,1.0,796.9015873015874,841.0,3882,0
59,2,1782184824.7777665,0.0,1.0,795.2904761904763,842.8,3882,0
60,2,1782184883.151227,26.51519256234169,0.4083333333333333,710.2466666666667,819.4,840,1
