round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,0,1782430130.8294318,3.1428026457627616,0.45900096495946247,185.5722222222222,203.4,1050,0
1,0,1782430152.696623,3.5203843911488852,0.366918221116066,186.6888888888889,203.1,1050,0
2,0,1782430174.5444837,3.2649662693341575,0.4352771043777466,186.25,201.0,1050,0
3,0,1782430196.5195966,2.74581116437912,0.5566476186116537,185.85555555555555,201.7,1050,0
4,0,1782430218.1662648,2.754625310500463,0.5762841502825419,185.78333333333333,203.9,1050,0
5,0,1782430240.2636106,2.048951134085655,0.6738673448562622,186.09444444444443,201.0,1050,0
6,0,1782430261.9180496,1.7070721536874771,0.7460601727167765,186.3777777777778,211.1,1050,0
7,0,1782430284.2517896,2.2815861950318017,0.6941679318745931,185.8722222222222,206.3,1050,0
8,0,1782430294.726694,0.29031498913688364,0.9759259223937988,175.94444444444446,202.0,540,1
9,0,1782430315.8558064,0.002338340681111125,1.0,176.97777777777776,204.4,540,1
10,0,1782430336.9670212,0.08735213025647681,1.0,175.1222222222222,201.5,540,1
11,0,1782430358.210213,0.009303629491114407,1.0,175.61111111111111,206.9,540,1
12,0,1782430379.2786179,0.02106526470379322,1.0,175.47777777777776,203.0,540,1
13,0,1782430400.363672,0.012684540095506236,1.0,176.05555555555554,207.5,540,1
14,0,1782430433.020033,3.496910830338796,0.46312636137008667,186.36666666666667,205.0,1050,0
15,0,1782430454.6155503,1.7833848893642426,0.7596790393193563,185.55555555555554,208.0,1050,0
16,0,1782430476.6157184,1.62713024020195,0.7813555002212524,185.49444444444444,199.5,1050,0
17,0,1782430498.5212555,1.751830945412318,0.7662158409754435,186.04444444444445,204.7,1050,0
18,0,1782430519.9578774,1.5531727770964305,0.8010357022285461,185.51666666666668,202.5,1050,0
19,0,1782430542.3580363,1.6044678390026093,0.7723564306894938,186.17222222222222,204.6,1050,0
20,0,1782430564.161013,1.3645593399802844,0.8204372326532999,185.52777777777777,201.0,1050,0
21,0,1782430585.792938,1.2152956823507945,0.8303041855494181,185.86111111111111,201.1,1050,0
22,0,1782430607.476964,1.3967220733563106,0.8126758933067322,186.52222222222224,207.2,1050,0
23,0,1782430629.0789857,0.7191118362049261,0.9129752119382223,186.54444444444445,201.9,1050,0
24,0,1782430650.8700664,1.0658944621682167,0.8643457690874735,188.22222222222223,203.1,1050,0
25,0,1782430672.4613018,0.957980141043663,0.8755875825881958,187.92777777777778,205.6,1050,0
26,0,1782430693.9734244,0.9143317391475042,0.8683375517527262,188.04444444444445,205.3,1050,0
27,0,1782430715.384424,0.8532327028612295,0.9038150111834208,187.97777777777776,202.0,1050,0
28,0,1782430737.4968622,1.0025959014892578,0.8661150137583414,187.38888888888889,202.8,1050,0
29,0,1782430759.516275,0.8131504605213801,0.8920467694600424,187.82777777777778,204.2,1050,0
30,0,1782430780.9177144,0.5397039316594601,0.9319652716318766,188.16111111111113,202.3,1050,0
31,0,1782430802.7159598,1.6747636745373409,0.8126184344291687,188.82222222222222,217.2,1050,0
32,0,1782430824.5038545,0.5940356406693658,0.9303609927495321,187.78333333333333,201.4,1050,0
33,0,1782430846.6504014,1.6128254259626071,0.8222170869509379,187.67222222222222,202.9,1050,0
34,0,1782430868.2389565,0.4426243243118127,0.9536773761113485,187.99444444444444,209.6,1050,0
35,0,1782430890.0021205,0.7650383313496908,0.9097207188606262,187.63333333333333,204.1,1050,0
36,0,1782430911.6295965,0.4964009889711936,0.9420434832572937,187.61666666666667,204.9,1050,0
37,0,1782430933.5653434,0.749799399326245,0.9111330707867941,187.85555555555555,204.4,1050,0
38,0,1782430955.3326044,0.4461134218921264,0.9434282779693604,187.75555555555556,206.8,1050,0
39,0,1782430977.3862221,0.488702738036712,0.938524047533671,187.3111111111111,203.4,1050,0
40,0,1782430998.8058662,0.42459228696922463,0.9489807685216268,187.66111111111113,204.8,1050,0
41,0,1782431020.7352028,0.5529130947155257,0.9351016879081726,187.60000000000002,202.6,1050,0
42,0,1782431042.109792,0.40315284316117567,0.9506761431694031,188.03333333333333,203.6,1050,0
43,0,1782431064.0103772,0.41417632314066094,0.9492990374565125,187.98333333333332,204.5,1050,0
44,0,1782431085.2414954,0.3085090896735589,0.9646333456039429,187.29444444444445,205.9,1050,0
45,0,1782431107.2552717,0.3459324411426981,0.9585668245951334,187.02222222222224,202.0,1050,0
46,0,1782431128.8282783,0.3335186227535208,0.959726889928182,187.7388888888889,203.5,1050,0
47,0,1782431150.4914665,0.382016321644187,0.9589579502741495,187.65555555555554,206.7,1050,0
48,0,1782431171.9432876,0.25500978032747906,0.9603022138277689,187.77222222222224,204.7,1050,0
49,0,1782431193.4351585,0.5250352540363868,0.927903433640798,187.5611111111111,201.6,1050,0
50,0,1782431215.2245412,0.2669036169536412,0.9780751864115397,187.5611111111111,203.2,1050,0
51,0,1782431237.1382906,0.232567652904739,0.9665608406066895,187.55,210.1,1050,0
52,0,1782431259.165714,0.3356435451035698,0.9659227927525839,187.98333333333332,203.2,1050,0
53,0,1782431280.7608523,0.5002675130963326,0.9358785549799601,187.6888888888889,203.8,1050,0
54,0,1782431302.0110471,0.2741249112101893,0.967870275179545,187.70555555555555,205.4,1050,0
55,0,1782431323.977947,0.2728250091895461,0.9712634086608887,186.7,209.5,1050,0
56,0,1782431344.853625,0.2884374912828207,0.9744300444920858,187.63333333333333,205.3,1050,0
57,0,1782431366.0061238,0.14682435578045747,0.978713591893514,187.13333333333333,203.7,1050,0
58,0,1782431386.5760353,0.21360793927063546,0.9762648741404215,187.66111111111113,212.4,1050,0
59,0,1782431407.4393208,0.18141074230273566,0.9828201333681742,187.7888888888889,205.2,1050,0
60,0,1782431428.7419038,0.1243371960396568,0.9898785352706909,188.32777777777778,203.5,1050,0
61,0,1782431449.6898477,0.1112281772075221,0.9882008035977682,187.18333333333334,202.4,1050,0
62,0,1782431470.9037216,0.17135964636690915,0.9789361357688904,187.89444444444445,206.3,1050,0
63,0,1782431491.5475855,0.17440305401881537,0.981339693069458,187.76666666666668,211.9,1050,0
64,0,1782431512.5629418,0.2358215794277688,0.9697033961613973,187.4388888888889,205.9,1050,0
65,0,1782431533.3470035,0.1417048325141271,0.9863053758939108,187.85000000000002,203.9,1050,0
66,0,1782431554.0480006,0.14943909707168737,0.9851836959520975,187.38888888888889,205.4,1050,0
67,0,1782431574.9145722,0.11447480918529133,0.9878307978312174,187.51666666666668,205.1,1050,0
68,0,1782431595.6939454,0.167557201658686,0.9804625908533732,187.5111111111111,205.7,1050,0
69,0,1782431617.524108,0.13302823606257638,0.9849865237871805,187.5,204.4,1050,0
70,0,1782431639.2903657,0.4606981131558617,0.9372683564821879,186.83333333333334,204.4,1050,0
71,0,1782431660.8752391,0.25979274216418463,0.9683805505434672,187.94444444444446,205.9,1050,0
72,0,1782431682.33785,0.23277655662968755,0.9745813409487406,187.65555555555557,203.5,1050,0
73,0,1782431703.65737,0.24390961835160851,0.9751814603805542,187.62222222222223,204.5,1050,0
74,0,1782431725.1680782,0.2296083907907208,0.9752186139424642,187.75,206.4,1050,0
75,0,1782431746.848697,0.19397989299613982,0.9770654439926147,188.36111111111111,206.0,1050,0
76,0,1782431768.2100773,0.1301302838837728,0.9827629725138346,186.46666666666667,206.5,1050,0
77,0,1782431789.9890046,0.25359743057439726,0.9792953530947367,187.76666666666668,204.3,1050,0
78,0,1782431811.6146722,0.14268587653835615,0.989429791768392,187.32222222222222,205.8,1050,0
79,0,1782431833.077888,0.2146166682553788,0.9737351536750793,187.75,202.4,1050,0
80,0,1782431854.4792614,0.10493065696209669,0.9865598479906718,187.38888888888889,202.7,1050,0
81,0,1782431876.127318,0.250895488075912,0.9733386238416036,187.63888888888889,209.6,1050,0
82,0,1782431898.3555624,0.2352626109495759,0.9688628315925598,187.75,206.8,1050,0
83,0,1782431919.8841133,0.15134748715596893,0.9776822527249655,186.10555555555555,201.6,1050,0
84,0,1782431940.8525426,0.19722294597886503,0.9839659333229065,188.25,209.4,1050,0
85,0,1782431962.7041214,0.22830162290483713,0.9701046546300253,187.57777777777778,209.2,1050,0
86,0,1782431984.224771,0.12209053531599541,0.9862093130747477,187.29444444444445,204.4,1050,0
87,0,1782432005.958769,0.18215142966558537,0.9777298967043558,188.07222222222222,202.8,1050,0
88,0,1782432027.1724231,0.15506345041406652,0.9817275603612264,187.64999999999998,203.0,1050,0
89,0,1782432049.2751527,0.13416523517419895,0.98554394642512,187.33333333333334,203.2,1050,0
90,0,1782432070.8882802,0.17669163089400777,0.9829555948575338,188.27222222222224,209.9,1050,0
91,0,1782432092.450712,0.12256226746831089,0.9850780765215555,188.18333333333334,207.0,1050,0
92,0,1782432113.543877,0.06946358449446659,0.9917471408843994,187.38333333333333,202.6,1050,0
93,0,1782432135.157509,0.15987114959474033,0.9805418848991394,187.19444444444446,202.9,1050,0
94,0,1782432156.9954317,0.16821862167368332,0.9818209012349447,187.36111111111111,204.5,1050,0
95,0,1782432178.6300428,0.08575623602761577,0.9928116997083029,187.85000000000002,205.6,1050,0
96,0,1782432199.8626583,0.06105166848283261,0.9938979148864746,188.25555555555556,204.9,1050,0
97,0,1782432221.726048,0.08665622413779299,0.9894842505455017,187.6888888888889,203.4,1050,0
98,0,1782432243.312986,0.06973023359508564,0.9947813550631205,187.16666666666666,206.4,1050,0
99,0,1782432264.9407504,0.042157271828424804,0.9941176374753317,187.9388888888889,208.3,1050,0
