seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
0,normal,2266,0,1782430109.0815234,0.0
1,normal,2438,0,1782430109.126086,0.044562578201293945
2,normal,1630,0,1782430109.1698122,0.043726205825805664
3,normal,1180,0,1782430109.219507,0.04969477653503418
4,normal,994,1,1782430109.264624,0.04511713981628418
5,normal,2258,0,1782430109.3172312,0.052607059478759766
6,normal,3142,0,1782430109.3597867,0.04255557060241699
7,normal,527,0,1782430109.4090521,0.049265384674072266
8,normal,1828,0,1782430109.4599724,0.05092024803161621
9,normal,50,0,1782430109.5083148,0.04834246635437012
10,normal,114,0,1782430109.553244,0.04492926597595215
11,normal,2665,0,1782430109.5958216,0.042577505111694336
12,normal,904,0,1782430109.6413233,0.045501708984375
13,normal,2649,0,1782430109.6985288,0.0572054386138916
14,normal,748,0,1782430109.7446768,0.046148061752319336
15,normal,1035,1,1782430109.7872772,0.042600393295288086
16,normal,3155,0,1782430109.828737,0.04145979881286621
17,normal,2350,0,1782430109.8706064,0.041869401931762695
18,normal,571,0,1782430109.9141958,0.04358935356140137
19,normal,1956,0,1782430109.9556828,0.04148697853088379
20,normal,102,0,1782430110.0001109,0.044428110122680664
21,normal,91,0,1782430110.0623622,0.06225132942199707
22,normal,771,0,1782430110.1102948,0.04793262481689453
23,normal,130,0,1782430110.1592708,0.04897594451904297
24,normal,843,0,1782430110.2067003,0.047429561614990234
25,normal,2790,0,1782430110.248655,0.041954755783081055
26,normal,1488,0,1782430110.317263,0.06860780715942383
27,normal,1205,3,1782430110.3645208,0.04725790023803711
28,normal,2751,0,1782430110.4205995,0.05607867240905762
29,normal,4,0,1782430110.4716396,0.0510401725769043
30,normal,2729,0,1782430110.5177884,0.04614877700805664
31,normal,192,0,1782430110.568574,0.05078554153442383
32,normal,3180,0,1782430110.6125703,0.043996334075927734
33,normal,2403,0,1782430110.6636996,0.05112934112548828
34,normal,232,0,1782430110.7306933,0.06699371337890625
35,normal,2773,0,1782430110.7733617,0.04266834259033203
36,normal,1342,0,1782430110.823437,0.05007529258728027
37,normal,1592,0,1782430110.8816383,0.05820131301879883
38,normal,3147,0,1782430110.9264393,0.04480099678039551
39,normal,1509,0,1782430110.9693189,0.042879581451416016
40,normal,2483,0,1782430111.015632,0.04631304740905762
41,normal,1287,3,1782430111.0671964,0.05156445503234863
42,normal,1962,0,1782430111.1101904,0.042994022369384766
43,normal,352,0,1782430111.1573272,0.047136783599853516
44,normal,602,0,1782430111.2177823,0.0604550838470459
45,normal,989,1,1782430111.2617457,0.04396343231201172
46,normal,401,0,1782430111.30556,0.04381442070007324
47,normal,2647,0,1782430111.3600616,0.05450153350830078
48,normal,1004,1,1782430111.4047039,0.04464221000671387
49,normal,1434,0,1782430111.4671488,0.06244492530822754
50,normal,1831,0,1782430111.51509,0.04794120788574219
51,normal,150,0,1782430111.5599668,0.044876813888549805
52,normal,334,0,1782430111.6113563,0.051389455795288086
53,normal,1529,0,1782430111.6554601,0.04410386085510254
54,normal,2241,0,1782430111.7122817,0.056821584701538086
55,normal,2815,0,1782430111.7702682,0.05798649787902832
56,normal,237,0,1782430111.8187523,0.048484086990356445
57,normal,338,0,1782430111.867651,0.04889869689941406
58,normal,1610,0,1782430111.9120777,0.044426679611206055
59,normal,2263,0,1782430111.9603953,0.048317670822143555
60,normal,1922,0,1782430112.0044878,0.044092416763305664
61,normal,1456,0,1782430112.054572,0.05008435249328613
62,normal,2968,0,1782430112.106292,0.05171990394592285
63,normal,3088,0,1782430112.1579702,0.05167818069458008
64,normal,2565,0,1782430112.2124443,0.0544741153717041
65,normal,1327,0,1782430112.263296,0.05085158348083496
66,normal,1459,0,1782430112.3055682,0.042272329330444336
67,normal,200,0,1782430112.353583,0.04801487922668457
68,normal,1694,0,1782430112.409615,0.05603194236755371
69,normal,1878,0,1782430112.451579,0.041964054107666016
70,normal,526,0,1782430112.4980366,0.046457529067993164
71,normal,1655,0,1782430112.5438316,0.04579496383666992
72,normal,2337,0,1782430112.5932345,0.04940295219421387
73,normal,2720,0,1782430112.6358008,0.04256629943847656
74,normal,2310,0,1782430112.6791968,0.04339599609375
75,normal,833,0,1782430112.7267184,0.04752159118652344
76,normal,286,0,1782430112.7758825,0.0491640567779541
77,normal,299,0,1782430112.8211873,0.04530477523803711
78,normal,1568,0,1782430112.8711798,0.04999256134033203
79,normal,2863,0,1782430112.9201596,0.048979759216308594
80,normal,2358,0,1782430112.965666,0.04550647735595703
81,normal,3033,0,1782430113.0166752,0.051009178161621094
82,normal,269,0,1782430113.0642002,0.04752492904663086
83,normal,41,0,1782430113.113315,0.04911494255065918
84,normal,2584,0,1782430113.165817,0.05250191688537598
85,normal,2500,0,1782430113.216876,0.05105900764465332
86,normal,1791,0,1782430113.2697995,0.05292344093322754
87,normal,840,0,1782430113.3280318,0.05823230743408203
88,normal,3170,0,1782430113.3710332,0.043001413345336914
89,normal,2159,0,1782430113.4150822,0.04404902458190918
90,normal,386,0,1782430113.4701166,0.05503439903259277
91,normal,955,1,1782430113.5209682,0.05085158348083496
92,normal,1077,1,1782430113.575038,0.05406975746154785
93,normal,2005,0,1782430113.615896,0.04085803031921387
94,normal,1891,0,1782430113.657498,0.04160189628601074
95,normal,2771,0,1782430113.7081213,0.050623416900634766
96,normal,11,0,1782430113.7525327,0.044411420822143555
97,normal,1394,0,1782430113.7977512,0.045218467712402344
98,normal,3121,0,1782430113.8453283,0.0475771427154541
99,normal,2477,0,1782430113.8901868,0.044858455657958984
100,normal,2737,0,1782430113.934734,0.044547319412231445
101,normal,2225,0,1782430113.9829967,0.048262596130371094
102,normal,263,0,1782430114.0381694,0.05517268180847168
103,normal,975,1,1782430114.084716,0.04654669761657715
104,normal,1604,0,1782430114.135999,0.05128288269042969
105,normal,1169,0,1782430114.1814547,0.0454556941986084
106,normal,749,0,1782430114.2295744,0.04811978340148926
107,normal,46,0,1782430114.2734537,0.04387927055358887
108,normal,2918,0,1782430114.3184288,0.04497504234313965
109,normal,2021,0,1782430114.363806,0.045377254486083984
110,normal,1340,0,1782430114.4146113,0.05080533027648926
111,normal,1460,0,1782430114.4613438,0.046732425689697266
112,normal,2892,0,1782430114.5192914,0.057947635650634766
113,normal,159,0,1782430114.5743723,0.05508089065551758
114,normal,620,0,1782430114.625489,0.0511167049407959
115,normal,394,0,1782430114.6691215,0.04363250732421875
116,normal,586,0,1782430114.7169383,0.04781675338745117
117,normal,1163,0,1782430114.7629516,0.04601335525512695
118,normal,208,0,1782430114.820612,0.05766034126281738
119,normal,1600,0,1782430114.8646505,0.04403853416442871
120,normal,1502,0,1782430114.9226904,0.05803990364074707
121,normal,3079,0,1782430114.9715705,0.04888010025024414
122,normal,581,0,1782430115.0150464,0.04347586631774902
123,normal,2590,0,1782430115.061791,0.046744585037231445
124,normal,357,0,1782430115.1107,0.04890894889831543
125,normal,1260,3,1782430115.1618345,0.051134586334228516
126,normal,2126,0,1782430115.2053614,0.04352688789367676
127,normal,2714,0,1782430115.259032,0.053670644760131836
128,normal,1471,0,1782430115.300778,0.041745901107788086
129,normal,2668,0,1782430115.347727,0.046949148178100586
130,normal,1387,0,1782430115.404441,0.05671405792236328
131,normal,1952,0,1782430115.4531157,0.048674583435058594
132,normal,1255,3,1782430115.5007706,0.04765486717224121
133,normal,2881,0,1782430115.544107,0.04333639144897461
134,normal,1521,0,1782430115.6173506,0.07324361801147461
135,normal,2646,0,1782430115.685599,0.06824851036071777
136,normal,1668,0,1782430115.7330453,0.047446250915527344
137,normal,2925,0,1782430115.7803714,0.047326087951660156
138,normal,2633,0,1782430115.840294,0.05992245674133301
139,normal,327,0,1782430115.8864083,0.046114444732666016
140,normal,522,0,1782430115.9370885,0.05068016052246094
141,normal,1803,0,1782430116.0013857,0.06429719924926758
142,normal,1930,0,1782430116.052543,0.051157236099243164
143,normal,1793,0,1782430116.0952816,0.04273867607116699
144,normal,1449,0,1782430116.1436992,0.04841756820678711
