round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,1,1782358440.4999294,1.5651714606531735,0.7863629460334778,196.21379310344827,204.6,11001,0
1,1,1782358487.2527153,1.6281344266287212,0.7758254408836365,196.06034482758622,204.7,11040,0
2,1,1782358533.3141527,0.9176004033150345,0.8966735998789469,196.08793103448278,205.9,11130,0
3,1,1782358575.4655128,0.7410453600359375,0.9130558172861735,197.0080459770115,204.4,11130,0
4,1,1782358617.3107939,0.6499718906807488,0.9220368266105652,197.0316091954023,205.5,11130,0
5,1,1782358654.656435,0.5262508353796499,0.9436006744702657,198.84712643678162,208.4,11130,0
6,1,1782358697.2603483,0.46315291180307494,0.9492134054501852,196.02816091954023,205.5,11130,0
7,1,1782358739.927999,0.39111704135249403,0.9545383254686991,196.2367816091954,202.5,11130,0
8,1,1782358782.8185856,0.35363714891517983,0.9593441685040792,196.18275862068967,209.6,11040,0
9,1,1782358824.8437214,0.3314254658842652,0.9614818294843038,195.44022988505748,206.0,11130,0
10,1,1782358867.5523489,0.28843740431656095,0.9677379329999288,196.06896551724137,206.3,11130,0
11,1,1782358910.1804092,0.2622977439635273,0.9711155295372009,196.20977011494253,205.8,11130,0
12,1,1782358952.6349227,0.2528069018996481,0.9720303614934286,196.132183908046,204.5,11130,0
13,1,1782358995.2227163,0.21633975063290062,0.975194493929545,196.08678160919538,205.5,11130,0
14,1,1782359038.7002988,0.24480045522595273,0.9722031354904175,195.48563218390805,203.4,11130,0
15,1,1782359081.3054512,0.25644585665251163,0.9715191523234049,195.87471264367815,203.9,11130,0
16,1,1782359126.9231741,0.15588066798779343,0.9840735991795858,195.87471264367815,205.2,11130,0
17,1,1782359172.3213842,0.46789234825249376,0.9369129538536072,195.82183908045977,203.0,11130,0
18,1,1782359217.8166823,0.21156505026437086,0.9779132604598999,195.92758620689656,204.9,11130,0
19,1,1782359263.4343011,0.17599369801484563,0.9795738458633423,195.92241379310346,206.9,11130,0
20,1,1782359309.2829828,0.17208567391759877,0.9833864172299703,195.89482758620687,204.5,11130,0
21,1,1782359355.0443363,0.1685406667951109,0.9804086883862814,196.0413793103448,204.9,11130,0
22,1,1782359400.3249228,0.15513290381580913,0.9826545516649882,195.96379310344827,204.1,11130,0
23,1,1782359445.1492777,0.14649749832661374,0.9841707547505697,195.76149425287358,202.4,10992,0
24,1,1782359491.0031207,0.14406725036076687,0.983466366926829,195.90057471264367,203.2,11130,0
25,1,1782359536.3433132,0.1403577426480579,0.9842177629470825,196.18793103448274,203.2,11130,0
26,1,1782359581.5678134,0.12870722029012918,0.9862057566642761,196.09712643678162,204.9,11130,0
27,1,1782359627.348646,0.12889406780294818,0.9859652916590372,195.73965517241376,204.1,11130,0
