round,edge_id,timestamp,loss,accuracy,cpu_avg,cpu_peak,samples_trained,is_outage
0,1,1782180739.7352202,0.8212718968702988,0.9103539929926302,770.9401515151516,855.1,8277,0
1,1,1782180822.356298,1.0271446730264209,0.898876404494382,781.7757575757576,848.6,8277,0
2,1,1782180898.7850804,0.6329583816695958,0.92158994804881,778.9507575757576,852.8,8277,0
3,1,1782180976.1173267,1.1126900035887957,0.9207442310015707,785.9303030303031,871.2,8277,0
4,1,1782181055.6371837,0.4462967615320601,0.944424308324272,781.0500000000001,854.8,8277,0
5,1,1782181095.2655656,2.660921483155221e-10,1.0,755.8047619047619,820.7,1281,1
6,1,1782181149.6884072,0.0,1.0,762.9428571428571,848.2,1281,1
7,1,1782181204.6856942,0.0,1.0,770.047619047619,825.0,1281,1
8,1,1782181258.5785205,0.0,1.0,773.7666666666667,836.2,1281,1
9,1,1782181310.9796083,0.0,1.0,780.2190476190475,841.2,1281,1
10,1,1782181366.2768705,0.0,1.0,773.8809523809524,829.5,1281,1
11,1,1782181420.2539427,0.0,1.0,774.8666666666667,843.8,1281,1
12,1,1782181474.4529488,2.660921483155221e-10,1.0,782.547619047619,846.9,1281,1
13,1,1782181527.7005105,0.0,1.0,771.447619047619,839.0,1281,1
14,1,1782181582.1363435,0.0,1.0,772.8142857142857,834.9,1281,1
15,1,1782181635.3400476,0.0,1.0,775.6952380952381,832.3,1281,1
16,1,1782181691.912972,0.0,1.0,783.7904761904762,832.1,1281,1
17,1,1782181783.9550595,0.5695069981315597,0.9433369578349644,775.239393939394,847.4,8277,0
18,1,1782181862.3243737,0.4701690261294557,0.9440618581611695,784.9712121212121,850.3,8277,0
19,1,1782181936.7319956,1.2988192215561867,0.9098707261084934,779.494696969697,853.6,8277,0
20,1,1782182016.1836033,0.3542285021050537,0.955176996496315,768.8818181818182,844.7,8277,0
21,1,1782182095.2392778,0.9511433172632348,0.9313761024525794,762.9386363636363,835.8,8277,0
22,1,1782182170.6569526,0.21434515972991489,0.9711248036728283,775.1,850.0,8277,0
23,1,1782182250.8073773,1.9594314475967125,0.9115621602029721,779.4295454545454,849.5,8277,0
24,1,1782182326.16179,0.38541158477098425,0.9546937296121784,784.969696969697,856.2,8277,0
25,1,1782182405.7919035,0.31511524359864945,0.9671378518787,767.8507575757576,839.2,8277,0
26,1,1782182482.8346524,0.2644533249246954,0.9672586685997342,772.8893939393939,840.0,8277,0
27,1,1782182561.6483753,0.507329793964428,0.9568684305907937,769.3575757575758,841.7,8277,0
28,1,1782182639.1165838,0.14862084987213497,0.9786154403769481,779.178787878788,854.7,8277,0
29,1,1782182718.090235,0.7857239702081477,0.9514316781442551,772.6545454545454,848.6,8277,0
30,1,1782182793.9456635,0.1802978107602526,0.9763199226772985,782.4037878787879,853.3,8277,0
31,1,1782182871.4576137,2.3497885046950118,0.9350006040836052,780.4583333333334,852.1,8277,0
32,1,1782182949.688969,0.15153951013020228,0.97982360758729,771.989393939394,841.9,8277,0
33,1,1782182999.9016116,0.8818326172560401,0.9484112601184004,699.7219696969697,817.9,8277,0
34,1,1782183049.7006254,0.29337492610581895,0.9717288872779992,690.6530303030303,821.1,8277,0
35,1,1782183097.358352,0.15868956476904053,0.9832064757762474,705.225,826.2,8277,0
36,1,1782183144.7931583,0.2392915865017461,0.9788570738190165,703.505303030303,816.7,8277,0
37,1,1782183194.6467109,0.11108879378827458,0.9864685272441706,719.1446969696971,802.8,8277,0
38,1,1782183241.2004533,0.21485145433954048,0.9790987072610849,688.6810606060606,802.2,8277,0
39,1,1782183288.8468132,0.08966607432111315,0.9890056783858886,712.2113636363636,816.9,8277,0
40,1,1782183336.7400348,0.08772670862791446,0.9896097619910595,712.8507575757576,856.6,8277,0
41,1,1782183413.1691825,0.06540789519542821,0.9915428295276066,771.9621212121212,848.0,8277,0
42,1,1782183489.9404511,0.16097404110496427,0.9834481092183158,774.7348484848485,839.0,8277,0
43,1,1782183566.9844959,0.04770628579761003,0.9934758970641536,775.6280303030303,838.6,8277,0
44,1,1782183650.6255152,0.30474782483092483,0.9840521928234868,767.5083333333333,841.0,8277,0
45,1,1782183731.9805522,0.05154705813170453,0.993717530506222,775.4098484848486,850.1,8277,0
46,1,1782183809.1317968,0.5761928881719623,0.9662921348314607,768.9916666666667,839.7,8277,0
47,1,1782183891.526607,0.08562034139520786,0.9896097619910595,772.4553030303031,845.2,8277,0
48,1,1782183974.1136148,0.44821273657864613,0.9797027908662559,770.0515151515152,851.5,8277,0
49,1,1782184051.2121317,0.08125747649333351,0.9885224115017518,776.6522727272728,841.2,8277,0
50,1,1782184129.1425753,0.0715999725752309,0.9942007973903588,787.030303030303,841.0,8277,0
51,1,1782184209.7079391,0.04948943496657421,0.9935967137851879,787.2757575757576,863.8,8277,0
52,1,1782184285.5749364,0.035151324521145645,0.9950465144375982,788.3840909090909,878.1,8277,0
53,1,1782184364.439573,0.10607085405807352,0.9896097619910595,768.3916666666667,847.8,8277,0
54,1,1782184443.392189,0.029432753342110696,0.9963754983689742,779.9325757575758,856.1,8277,0
55,1,1782184517.4000998,0.05088786939214432,0.9946840642744956,776.9689393939393,852.9,8277,0
56,1,1782184596.5527728,0.03066381422281045,0.9958922314848375,776.130303030303,850.3,8277,0
57,1,1782184677.4691234,0.6606301566009113,0.9734203213724779,766.9037878787879,833.2,8277,0
58,1,1782184753.0712328,0.03616136756100988,0.9958922314848375,772.3681818181818,856.1,8277,0
59,1,1782184834.2191396,0.28877601124143193,0.9786154403769481,776.2969696969697,851.7,8277,0
60,1,1782184902.5997546,0.03505134800145077,0.9952881478796666,737.1515151515151,820.2,8277,0
61,1,1782184971.869658,0.10431880323170101,0.9873142442914099,742.3530303030303,811.2,8277,0
62,1,1782185039.5575101,0.19894490250060864,0.9840521928234868,749.2712121212121,823.2,8277,0
63,1,1782185110.6234436,0.14252502767406192,0.9830856590552133,746.989393939394,824.0,8277,0
64,1,1782185175.48624,0.5950941496061701,0.9792195239821191,749.6765151515152,821.7,8277,0
65,1,1782185243.1407354,0.09077597013145516,0.9910595626434698,748.4560606060605,824.1,8277,0
66,1,1782185319.0275593,0.23290003969238818,0.9838105593814184,774.678787878788,840.5,8277,0
67,1,1782185395.73095,0.04432615074167953,0.9949256977165639,779.3515151515151,867.8,8277,0
68,1,1782185475.8020995,0.15093308469592806,0.9890056783858886,774.880303030303,850.3,8277,0
69,1,1782185553.5347688,0.051895846965077326,0.9939591639482904,780.6265151515152,855.4,8277,0
70,1,1782185630.2290893,0.10529501096604318,0.989851395433128,776.8537878787879,849.5,8277,0
71,1,1782185707.6761017,0.035153595062927874,0.9952881478796666,784.3196969696969,852.6,8277,0
72,1,1782185785.212207,0.03353154694603042,0.996858765253111,779.9060606060607,854.0,8277,0
73,1,1782185864.6285677,0.08031124299840155,0.9920260964117433,761.0446969696969,839.7,8277,0
74,1,1782185940.344917,0.035619763417881506,0.9960130482058717,782.1727272727273,852.2,8277,0
75,1,1782186015.9824884,0.0339706341674408,0.9957714147638033,782.1234848484848,847.4,8277,0
76,1,1782186096.0188048,0.05657433861266658,0.9940799806693247,782.7174242424243,850.1,8277,0
77,1,1782186177.3004,0.022300941132411625,0.9969795819741453,747.1083333333333,841.4,8277,0
78,1,1782186252.831711,0.1069589067322919,0.9911803793645041,770.9098484848486,839.9,8277,0
79,1,1782186330.093667,0.02337507213301716,0.9967379485320769,774.8636363636364,835.3,8277,0
80,1,1782186405.158394,0.040686134255379744,0.9957714147638033,772.1901515151516,845.9,8277,0
81,1,1782186483.3272367,0.022383252138969825,0.9971003986951794,788.2977272727273,852.6,8277,0
82,1,1782186559.729994,0.022847334723567835,0.9972212154162136,768.3795454545455,838.2,8277,0
83,1,1782186639.6033905,0.02044560250985898,0.9972212154162136,757.3992424242424,834.5,8277,0
84,1,1782186715.1991787,0.05535480076679795,0.9935967137851879,778.7651515151515,837.5,8277,0
85,1,1782186793.398597,0.022518451491268108,0.9963754983689742,776.9250000000001,850.5,8277,0
86,1,1782186868.682139,0.04117328981696615,0.9949256977165639,775.9901515151515,851.4,8277,0
87,1,1782186949.2979164,0.017731777807293788,0.9979461157424188,777.8356060606061,839.6,8277,0
88,1,1782187028.528437,0.056037647890785275,0.9945632475534614,773.4863636363636,847.4,8277,0
89,1,1782187108.8726516,0.024183241353879028,0.9962546816479401,757.760606060606,836.8,8277,0
90,1,1782187189.049778,0.023526632707052707,0.997462848858282,760.4719696969697,842.9,8277,0
91,1,1782187265.3346279,0.06185437159586565,0.9940799806693247,773.3590909090908,846.2,8277,0
92,1,1782187346.520187,0.02150573741683233,0.997462848858282,778.3310606060605,844.6,8277,0
93,1,1782187423.5127132,0.0245571116483827,0.9973420321372478,779.8878787878788,849.4,8277,0
94,1,1782187501.5521486,0.031243470334087222,0.9964963150900085,756.6795454545454,827.5,8277,0
95,1,1782187584.053897,0.01591107453050307,0.9981877491844872,770.0310606060607,840.2,8277,0
96,1,1782187658.8770833,0.016459786361356296,0.9979461157424188,767.4606060606061,848.6,8277,0
97,1,1782187738.8244765,0.016085071838840195,0.9981877491844872,769.6886363636363,839.6,8277,0
98,1,1782187810.8506768,0.014059794315477154,0.9979461157424188,785.8416666666667,851.0,8277,0
99,1,1782187891.0252147,0.022475070538511298,0.9969795819741453,778.3378787878788,853.0,8277,0
