seq_num,folder,crop_index,label,arrival_timestamp,interarrival_delay
0,normal,3160,0,1782358393.3420725,0.0
1,normal,2257,0,1782358393.3439598,0.0018873214721679688
2,normal,293,0,1782358393.3457615,0.0018017292022705078
3,normal,106,0,1782358393.347787,0.0020253658294677734
4,normal,422,0,1782358393.34979,0.002003192901611328
5,normal,2774,0,1782358393.3517694,0.001979351043701172
6,normal,309,0,1782358393.3537729,0.0020034313201904297
7,normal,110,0,1782358393.3559027,0.002129793167114258
8,normal,1736,0,1782358393.3579218,0.002019166946411133
9,normal,2606,0,1782358393.3598351,0.001913309097290039
10,normal,1500,0,1782358393.361811,0.0019757747650146484
11,normal,1648,0,1782358393.3639097,0.0020987987518310547
12,normal,1710,0,1782358393.3660254,0.0021157264709472656
13,normal,1442,0,1782358393.3679628,0.0019373893737792969
14,normal,1960,0,1782358393.370018,0.0020551681518554688
15,normal,2522,0,1782358393.3719842,0.001966238021850586
16,normal,903,0,1782358393.37391,0.0019257068634033203
17,normal,2939,0,1782358393.3760102,0.002100229263305664
18,normal,1329,0,1782358393.3779316,0.0019214153289794922
19,normal,660,0,1782358393.3800943,0.0021626949310302734
20,normal,2524,0,1782358393.3819168,0.0018224716186523438
21,normal,197,0,1782358393.384068,0.0021512508392333984
22,normal,652,0,1782358393.3859627,0.0018947124481201172
23,normal,1880,0,1782358393.3879526,0.0019898414611816406
24,normal,1272,3,1782358393.390088,0.0021355152130126953
25,normal,2795,0,1782358393.392091,0.0020029544830322266
26,normal,2512,0,1782358393.3940234,0.001932382583618164
27,normal,1913,0,1782358393.396257,0.0022335052490234375
28,normal,2024,0,1782358393.39799,0.0017330646514892578
29,normal,1203,3,1782358393.4001095,0.0021195411682128906
30,normal,2695,0,1782358393.402095,0.0019855499267578125
31,normal,3142,0,1782358393.404086,0.0019910335540771484
32,normal,324,0,1782358393.4060316,0.00194549560546875
33,normal,3223,0,1782358393.4082627,0.002231121063232422
34,normal,3010,0,1782358393.409954,0.0016913414001464844
35,normal,1673,0,1782358393.4123096,0.0023555755615234375
36,normal,2328,0,1782358393.413975,0.001665353775024414
37,normal,1081,1,1782358393.4162595,0.002284526824951172
38,normal,2627,0,1782358393.4179955,0.0017359256744384766
39,normal,2699,0,1782358393.4202754,0.002279996871948242
40,normal,2070,0,1782358393.4219658,0.0016903877258300781
41,normal,1703,0,1782358393.4243202,0.0023543834686279297
42,normal,279,0,1782358393.426015,0.0016946792602539062
43,normal,2724,0,1782358393.4280925,0.0020775794982910156
44,normal,2245,0,1782358393.4299529,0.0018603801727294922
45,normal,934,0,1782358393.4322846,0.0023317337036132812
46,normal,923,0,1782358393.4339695,0.0016849040985107422
47,normal,2460,0,1782358393.4363315,0.0023620128631591797
48,normal,2753,0,1782358393.4380426,0.001711130142211914
49,normal,2805,0,1782358393.440091,0.0020482540130615234
50,normal,2708,0,1782358393.4420044,0.0019135475158691406
51,normal,2588,0,1782358393.4442608,0.0022563934326171875
52,normal,3136,0,1782358393.4459918,0.0017309188842773438
53,normal,1891,0,1782358393.4481552,0.002163410186767578
54,normal,2671,0,1782358393.4502103,0.0020551681518554688
55,normal,206,0,1782358393.4520917,0.0018813610076904297
56,normal,3014,0,1782358393.4540093,0.0019176006317138672
